count;year;name
118;2015;Zoé
56;2016;Achille
5;2016;Adriel
8;2016;Amel
8;2016;Andréa
9;2016;Archibald
38;2016;Armand
22;2016;Aurélien
38;2016;Blanche
17;2016;Camélia
17;2016;Céline
9;2016;Constant
8;2016;Damien
11;2016;Dan
5;2016;Éden
15;2016;Emmanuelle
7;2016;Eulalie
8;2016;Ève
5;2016;Fadi
5;2016;Geneviève
5;2016;Gianni
22;2016;Grégoire
10;2016;Helena
11;2016;Ilian
45;2016;Issa
175;2016;Joseph
14;2016;Judith
91;2016;Julia
5;2016;Kadidia
38;2016;Kaïs
6;2016;Karim
42;2016;Lana
23;2016;Léandre
49;2016;Léonard
5;2016;Linda
5;2016;Loïs
25;2016;Lorenzo
8;2016;Ludivine
5;2016;Lyne
8;2016;Maïlys
9;2016;Malick
18;2016;Malik
31;2016;Maryam
15;2016;Mateo
69;2016;Mathis
7;2016;Matisse
8;2016;Mayline
26;2016;Mélissa
14;2016;Melvil
7;2016;Muhammad
6;2016;Nahyl
11;2016;Naïl
11;2016;Neïla
5;2016;Noah
65;2016;Nour
43;2016;Pierre
12;2016;Prune
5;2016;Rafaela
342;2016;Raphaël
5;2016;Ryad
164;2016;Sarah
8;2016;Sira
14;2016;Soan
7;2016;Tal
19;2016;Timothé
41;2016;Tristan
11;2016;Viktor
5;2016;Yacoub
5;2016;Zéphyr
5;2017;Adonis
72;2017;Adrien
50;2017;Aïcha
6;2017;Alana
19;2017;Aliyah
7;2017;Alyah
21;2017;Ambroise
22;2017;Amira
17;2017;Anaëlle
7;2017;Andy
6;2017;Armance
161;2017;Augustin
26;2017;Awa
27;2017;Aymen
19;2017;Balthazar
20;2017;Billie
16;2017;Charline
11;2017;Cheikh
9;2017;Dahlia
18;2017;Eléa
45;2017;Elisa
11;2017;Elyes
46;2017;Ernest
10;2017;Ethel
101;2017;Eva
30;2017;Hadrien
7;2017;Haron
5;2017;Helena
39;2017;Issa
28;2017;Jayden
6;2017;Jérémie
9;2017;Joyce
22;2017;Julien
6;2017;Laure
5;2017;Laurine
5;2017;Lazar
7;2017;Liya
22;2017;Luka
64;2017;Madeleine
17;2017;Mahaut
20;2017;Malik
8;2017;Marcello
105;2017;Margaux
55;2017;Mariam
9;2017;Marion
20;2017;Mathias
20;2017;Matthieu
5;2017;Nana
28;2017;Nassim
5;2017;Nayel
7;2017;Nelia
5;2017;Nicole
5;2017;Nourane
14;2017;Raphael
12;2017;Salimata
5;2017;Sidney
13;2017;Soren
25;2017;Souleymane
32;2017;Thelma
64;2017;Ulysse
20;2017;Violette
13;2017;Wael
19;2017;Yann
10;2017;Zakarya
5;2018;Abdoul-Aziz
10;2018;Aimée
10;2018;Albin
7;2018;Angèle
5;2018;Anir
11;2018;Asma
8;2018;Audrey
25;2018;Awa
7;2018;Benoît
23;2018;Castille
48;2018;Constance
15;2018;Dania
5;2018;Eve
21;2018;Fatou
33;2018;Hamza
6;2018;Hussein
39;2018;Imran
16;2018;Janna
6;2018;Jean-Baptiste
5;2018;Jessie
9;2018;Layane
77;2018;Léonie
30;2018;Lola
9;2018;Lukas
30;2018;Mamadou
16;2018;Marianne
6;2018;Mark
7;2018;Matei
18;2018;Mathieu
12;2018;Matthias
12;2018;Mayeul
6;2018;Meyron
9;2018;Mylan
7;2018;Nabil
11;2018;Nassim
146;2018;Oscar
6;2018;Paulin
15;2018;Rita
5;2018;Robinson
30;2018;Roméo
8;2018;Sébastien
23;2018;Selma
12;2018;Tara
6;2018;Theodore
206;2018;Victor
9;2018;Vladimir
10;2018;Yuna
282;2019;Arthur
157;2019;Alexandre
124;2019;Nina
114;2019;Victoire
76;2019;Thomas
66;2019;Céleste
60;2019;Ayden
60;2019;Eden
52;2019;Robin
36;2019;Albane
36;2019;Blanche
36;2019;Daphné
33;2019;Assia
30;2019;Noa
29;2019;Faustine
28;2019;Louisa
25;2019;Roman
25;2019;Billie
23;2019;Jacob
23;2019;Marc
23;2019;Théophile
22;2019;Thibault
20;2019;Oumou
20;2019;Stella
17;2019;Swann
17;2019;Mona
16;2019;Mahamadou
16;2019;Dania
12;2019;Sekou
12;2019;Leila
11;2019;Mouhamadou
11;2019;Halima
10;2019;Mathieu
10;2019;Layana
9;2019;Ewen
9;2019;Guillaume
8;2019;Bilel
8;2019;Emilio
7;2006;Angélina
5;2006;Antonio
95;2006;Axel
8;2006;Bettina
7;2006;Brune
7;2006;Calixte
